,carry_mass,carry_count,max_carry_cascade_length,carry_amplification_ratio,normalized_value_weighted_carry
size_sumset,0.6519039386265811,0.973991222247522,0.9382056519271149,0.26987696772834135,0.33226210924265087
max_representation_count,0.7726589323457705,0.8074425291070758,0.8537637103857347,0.27377510922563536,0.4050411558830691
additive_energy,0.7787205762810999,0.7041519847318883,0.7359312052548452,0.18374840377585883,0.2760367698881254
support_density_x,0.41553673563448307,0.3337736824162951,0.4600612181964332,0.2249166034862036,0.40928537870946896
support_density_y,0.4400033654050425,0.37660556309342386,0.4912003270528486,0.23458729993336494,0.42257620565129417
diagonal_mass_concentration,-0.3985810886183622,-0.6670105716856612,-0.6423675046225371,-0.2862115772097998,-0.31791466945525015
