B,num_digits,density,additive_energy_mean,additive_energy_std,max_representation_count_mean,max_representation_count_std,size_sumset_mean,size_sumset_std,carry_mass_mean,carry_mass_std,carry_count_mean,carry_count_std,max_carry_cascade_length_mean,max_carry_cascade_length_std,carry_amplification_ratio_mean,carry_amplification_ratio_std,normalized_value_weighted_carry_mean,normalized_value_weighted_carry_std
2,8,0.2,6.6,4.109040097920168,1.25,0.4442616583193193,5.55,2.350251946180731,0.65,1.5652475842498528,0.65,1.5652475842498528,0.5,1.1002392084403616,0.0611111111111111,0.13355245153100528,0.04300634609622851,0.1361338066234281
2,8,0.5,43.8,23.81861280153556,3.1,1.020835571068081,11.8,2.330574810506717,12.55,5.89803714003762,9.2,3.0881777968995174,9.15,3.1501879643167827,0.5779563492063492,0.16134482243075696,1.2440118814374777,0.7086440311432738
2,8,0.7,134.6,70.7392543448343,4.9,1.2937094768634558,13.8,0.8335087534664907,29.2,10.190811134495005,12.2,1.0563093645728086,12.2,1.0563093645728086,0.7613962585034013,0.06498875949826001,1.895339896205106,0.26949708001265416
2,8,1.0,344.0,0.0,8.0,0.0,15.0,0.0,56.0,0.0,14.0,0.0,14.0,0.0,0.875,0.0,1.992156862745098,0.0
2,16,0.2,28.4,39.23398097514316,2.15,1.0399898784932577,12.8,6.33785618743685,6.2,10.635590696979843,4.9,6.422821154208434,3.7,4.867723989926428,0.22628571428571428,0.23595465720611847,0.22030655061629617,0.5640334592927517
2,16,0.5,294.2,169.35406697212795,5.9,1.3726654823065196,27.7,2.5152168474057426,62.75,25.341613374468736,24.8,3.928304843996762,24.4,4.1218289246656665,0.7825828222703223,0.07575071389580901,1.4607513362793996,0.6358728442560282
2,16,0.7,807.45,322.57312104552767,8.85,1.9269556026896006,30.1,1.2523661815266247,117.5,31.976142422289254,27.85,2.2307657406087453,27.85,2.2307657406087453,0.857699327915674,0.057066266639090917,1.7529905827140386,0.5445970586766624
2,16,1.0,2736.0,0.0,16.0,0.0,31.0,0.0,240.0,0.0,30.0,0.0,30.0,0.0,0.9375,0.0,1.9999694819562062,0.0
10,8,0.2,8.65,7.478213971967258,1.6,0.7539370349250518,5.35,3.0135658193191035,12.75,11.977500837645119,4.2,3.001753873286328,2.4,2.21002500581233,0.07612369391125753,0.02199618531222326,0.680910656971548,0.3769246443965287
10,8,0.5,37.25,27.522000768762968,2.75,0.9665456669582609,10.85,2.6011131220468307,48.45,27.84822587186707,10.1,2.9361629095775577,8.15,3.5135077688978096,0.09441823345561762,0.00853757592724479,0.834489064268943,0.3016739390889803
