,carry_mass_per_digit,carry_count_per_digit,cascade_fraction,carry_amplification_ratio,normalized_value_weighted_carry
normalized_additive_energy,-0.3247100349093308,-0.6091240861273548,-0.5329140133044463,-0.22010050055684588,-0.2652034825291098
normalized_sumset_size,0.0,0.0,0.0,0.0,0.0
support_density_x,0.5021670497299366,0.5610480411075859,0.6567675188537645,0.2249166034862036,0.40928537870946896
support_density_y,0.5278547095665103,0.6056378973714728,0.6854784244142571,0.23458729993336494,0.42257620565129417
diagonal_mass_concentration,-0.39673267872699053,-0.6634262182717364,-0.6149658837791601,-0.2862115772097998,-0.31791466945525015
