trial,x,y,B,density,num_digits,x_support_size,y_support_size,raw_support_size,diagonal_nonzero_density,diagonal_geometric_density,diagonal_nonzero_density_max,diagonal_geometric_density_max,diagonal_nonzero_density_total,raw_mass_total,max_raw_mass,diagonal_mass_entropy,diagonal_mass_concentration,carry_mass,carry_count,carry_depth,carry_entropy,carry_amplification_ratio,max_carry_cascade_length,value_weighted_carry,normalized_value_weighted_carry
30,1539609109,3695400187,10,0.7,10,8,8,19,"[1, 1, 2, 2, 2, 3, 3, 5, 6, 6, 5, 5, 4, 4, 5, 4, 3, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",6,10,64,1849,184,4.002114212289183,0.09951325040562466,195,18,18,3.9812332281263156,0.10546241211465657,18,2615764460169872760,0.4597552386298362
31,2553060058,8369100282,10,0.7,10,7,8,19,"[1, 2, 2, 1, 1, 2, 4, 4, 5, 6, 4, 3, 3, 4, 4, 4, 3, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",6,10,56,1326,139,3.981518690185313,0.1048265460030166,138,19,19,3.9608206277287503,0.10407239819004525,19,25800256463405116710,1.2074918829446617
32,9817102964,1137086796,10,0.7,10,9,9,19,"[1, 2, 3, 4, 4, 4, 5, 6, 7, 9, 7, 6, 5, 4, 4, 4, 3, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",9,10,81,2256,234,3.984536321135275,0.10372340425531915,241,19,19,3.9776559745045095,0.10682624113475177,19,12508298672784784720,1.1205243028043483
33,7563734930,4701685790,10,0.7,10,9,8,17,"[0, 0, 1, 2, 3, 4, 5, 6, 6, 7, 8, 7, 6, 5, 4, 3, 2, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",8,10,72,2209,272,3.878069270964316,0.1231326392032594,237,17,19,3.86328058353118,0.1072883657763694,17,37682897130214302000,1.0596303329646062
34,7068640000,6550065350,10,0.7,10,5,7,14,"[0, 0, 0, 0, 0, 1, 2, 3, 4, 3, 3, 3, 3, 4, 3, 2, 2, 1, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",4,10,35,1085,136,3.6716750365716515,0.12534562211981568,115,14,19,3.6657183317621165,0.10599078341013825,14,44903499311842000000,0.9698368683171777
35,7011470089,8070256563,10,0.7,10,7,8,18,"[1, 2, 2, 2, 3, 4, 4, 5, 5, 6, 5, 4, 3, 3, 3, 1, 2, 0, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",6,10,56,1554,138,4.023781378370989,0.0888030888030888,165,18,19,4.004583605521387,0.10617760617760617,17,50517091565503310820,0.8927747761352013
36,6500331018,5101405499,10,0.7,10,7,8,19,"[1, 2, 2, 3, 3, 4, 5, 3, 4, 6, 5, 4, 3, 3, 3, 1, 1, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",6,10,56,1026,153,3.973540290142455,0.14912280701754385,105,18,19,3.9449131870339453,0.1023391812865497,16,33014447267369454870,0.995585841551828
37,8780630808,5045717430,10,0.7,10,7,8,18,"[0, 1, 1, 2, 2, 3, 4, 4, 4, 6, 5, 6, 4, 4, 4, 2, 2, 1, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",6,10,56,1728,171,3.969569403780214,0.09895833333333333,184,18,19,3.959631893547037,0.10648148148148148,18,44897379973502483200,1.0133800621418412
38,9966804067,8500857096,10,0.7,10,8,7,19,"[1, 2, 1, 2, 3, 3, 4, 3, 5, 6, 5, 4, 4, 3, 3, 2, 2, 2, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",6,10,56,2640,303,4.0729910595599215,0.11477272727272728,282,19,19,4.069279579646827,0.10681818181818181,19,93109922245405277040,1.0989484674925756
39,2000000047,8729000302,10,0.7,10,3,6,14,"[1, 1, 1, 1, 0, 0, 1, 2, 2, 3, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]",3,10,18,403,88,3.324366210533891,0.21836228287841192,38,12,19,3.11217710565223,0.09429280397022333,6,11010001496560012010,0.6306564816650514
