B,num_digits,density,trial,x,y,x_support_size,y_support_size,raw_support_size,final_support_size,size_Sx,size_Sy,size_sumset,max_representation_count,additive_energy,support_density_x,support_density_y,diameter_x,diameter_y,raw_mass_total,max_raw_mass,diagonal_mass_entropy,diagonal_mass_concentration,carry_mass,carry_count,carry_depth,carry_entropy,carry_amplification_ratio,max_carry_cascade_length,value_weighted_carry,normalized_value_weighted_carry
2,8,0.5,7,203,228,5,4,12,8,5,4,12,3,38,0.625,0.6666666666666666,7,5,20,3,3.484183719779189,0.15,12,10,15,3.2516291673878226,0.6,10,67008,1.447757324345346
2,8,0.5,8,251,177,7,4,14,9,7,4,14,3,66,0.875,0.5,7,7,28,3,3.6725535823855564,0.10714285714285714,19,11,15,3.4058222502856905,0.6785714285714286,11,81824,1.8417628919350846
2,8,0.5,9,216,133,4,3,11,6,4,3,11,2,14,0.8,0.375,4,7,12,2,3.4182958340544896,0.16666666666666666,6,6,12,2.584962500721156,0.5,6,8064,0.2807017543859649
2,8,0.5,10,218,216,5,4,11,10,5,4,11,4,46,0.7142857142857143,0.8,6,4,20,4,3.284183719779189,0.2,10,8,15,2.9219280948873623,0.5,8,71424,1.5168195718654434
2,8,0.5,11,240,155,4,5,11,5,4,5,11,3,42,1.0,0.625,3,7,20,3,3.3464393446710154,0.15,15,10,15,3.240223928941852,0.75,10,73408,1.9733333333333334
2,8,0.5,12,234,208,5,3,9,7,5,3,9,2,27,0.7142857142857143,0.75,6,3,15,2,3.106890595608519,0.13333333333333333,8,8,15,3.0,0.5333333333333333,8,65280,1.3412228796844181
2,8,0.5,13,147,218,4,5,12,10,4,5,12,3,40,0.5,0.7142857142857143,7,6,20,3,3.4464393446710155,0.15,10,8,12,2.9219280948873623,0.5,8,8928,0.27859951319977533
2,8,0.5,14,142,245,4,6,14,9,4,6,14,4,54,0.5714285714285714,0.75,6,7,24,4,3.6053885422075336,0.16666666666666666,15,12,15,3.506890595608519,0.625,12,67312,1.9348088531187122
2,8,0.5,15,236,170,5,4,12,8,5,4,12,3,40,0.8333333333333334,0.5714285714285714,5,6,20,3,3.4464393446710155,0.15,12,9,15,3.084962500721156,0.6,9,68992,1.719641076769691
2,8,0.5,16,203,215,5,6,15,10,5,6,15,5,74,0.625,0.75,7,7,30,5,3.7614063297218427,0.16666666666666666,20,14,15,3.6464393446710157,0.6666666666666666,14,70140,1.607056936647955
