trial,x,y,B,density,num_digits,raw_support_size,representation_counts,size_Sx,size_Sy,size_sumset,max_representation_count,additive_energy,support_density_x,support_density_y,diameter_x,diameter_y,raw_mass_total,max_raw_mass,diagonal_mass_entropy,diagonal_mass_concentration,carry_mass,carry_count,carry_depth,carry_entropy,carry_amplification_ratio,max_carry_cascade_length,value_weighted_carry,normalized_value_weighted_carry
9,6700900502,6904479498,10,0.7,10,19,"{0: 1, 1: 1, 2: 2, 3: 2, 4: 2, 5: 3, 6: 3, 7: 2, 8: 4, 9: 4, 10: 4, 11: 4, 12: 2, 13: 3, 14: 3, 15: 1, 16: 1, 17: 2, 18: 1}",5,9,19,4,129,0.5,0.9,9,9,1740,186,3.966507992173706,0.10689655172413794,183,19,19,3.932581859722622,0.10517241379310345,19,50643739018742464110,1.0946156380549794
10,7060645288,3760010085,10,0.7,10,19,"{0: 1, 1: 2, 2: 2, 3: 2, 4: 3, 5: 3, 6: 2, 7: 3, 8: 4, 9: 5, 10: 4, 11: 4, 12: 3, 13: 3, 14: 2, 15: 1, 16: 2, 17: 1, 18: 1}",8,6,19,5,146,0.8,0.6,9,9,1380,156,4.100151176307488,0.11304347826086956,141,19,19,4.0921787207379765,0.10217391304347827,19,25646689456857749040,0.9660462286238435
11,5770661936,8956004034,10,0.7,10,19,"{0: 1, 1: 2, 2: 2, 3: 3, 4: 3, 5: 3, 6: 3, 7: 4, 8: 6, 9: 6, 10: 6, 11: 5, 12: 4, 13: 3, 14: 3, 15: 3, 16: 3, 17: 2, 18: 1}",9,7,19,6,251,0.9,0.7,9,9,1950,196,4.026118025238911,0.10051282051282051,206,19,19,4.010181397048098,0.10564102564102563,19,62655651201068454320,1.2123285558883112
12,9402725318,7704161107,10,0.7,10,19,"{0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 5, 8: 7, 9: 7, 10: 6, 11: 6, 12: 5, 13: 4, 14: 4, 15: 2, 16: 1, 17: 2, 18: 1}",9,8,19,7,354,0.9,0.8,9,9,1394,192,4.031427173128396,0.13773314203730272,146,19,19,4.037446138802068,0.10473457675753228,19,79371410912577743150,1.0956831809250844
13,6003021207,5653951134,10,0.7,10,19,"{0: 1, 1: 1, 2: 2, 3: 3, 4: 4, 5: 4, 6: 5, 7: 5, 8: 5, 9: 6, 10: 5, 11: 5, 12: 4, 13: 3, 14: 2, 15: 2, 16: 1, 17: 1, 18: 1}",6,10,19,6,244,0.6,1.0,9,9,882,93,4.09131943647831,0.1054421768707483,86,19,19,4.041571734554797,0.09750566893424037,19,33347536707757411220,0.9825209761427744
14,1730804024,3460801072,10,0.7,10,19,"{0: 1, 1: 2, 2: 1, 3: 2, 4: 2, 5: 2, 6: 3, 7: 2, 8: 6, 9: 4, 10: 5, 11: 2, 12: 4, 13: 2, 14: 3, 15: 2, 16: 3, 17: 2, 18: 1}",7,7,19,6,159,0.7,0.7,9,9,899,104,3.9120087576979174,0.11568409343715239,89,17,18,3.8279713500806785,0.09899888765294772,17,2455984190385311300,0.41001621669585153
15,1803550402,1804706290,10,0.7,10,18,"{1: 1, 2: 1, 3: 2, 4: 1, 5: 3, 6: 3, 7: 4, 8: 4, 9: 4, 10: 5, 11: 5, 12: 3, 13: 3, 14: 4, 15: 2, 16: 1, 17: 2, 18: 1}",7,7,18,5,167,0.7,0.7777777777777778,9,8,1036,127,3.755339447478018,0.12258687258687259,105,16,18,3.716558731352099,0.10135135135135136,15,2618071338078140100,0.8043529529940278
16,2008360729,8210605010,10,0.7,10,18,"{1: 1, 2: 1, 3: 2, 4: 1, 5: 3, 6: 2, 7: 4, 8: 3, 9: 5, 10: 4, 11: 3, 12: 3, 13: 3, 14: 3, 15: 1, 16: 1, 17: 1, 18: 1}",7,6,18,5,126,0.7,0.6666666666666666,9,8,851,159,3.588072309725687,0.18683901292596944,84,14,19,3.4921282406955485,0.09870740305522914,13,10065641764929150000,0.6104141455190064
17,4020019802,1003207604,10,0.7,10,17,"{0: 1, 2: 2, 3: 2, 4: 2, 5: 3, 6: 3, 7: 3, 8: 2, 9: 5, 10: 2, 11: 2, 12: 3, 13: 2, 14: 1, 15: 1, 16: 1, 18: 1}",6,6,17,5,94,0.6,0.6,9,9,598,114,3.6021079924275536,0.19063545150501673,57,13,16,3.441792141137763,0.09531772575250837,12,10143264391554000,0.0025151201590228574
18,1336780880,4254488836,10,0.7,10,18,"{1: 1, 2: 2, 3: 2, 4: 3, 5: 4, 6: 5, 7: 6, 8: 7, 9: 8, 10: 8, 11: 7, 12: 6, 13: 6, 14: 5, 15: 4, 16: 3, 17: 2, 18: 1}",8,10,18,8,448,0.8888888888888888,1.0,8,9,2288,267,3.817958889689154,0.11669580419580419,245,17,18,3.7739137528202438,0.10708041958041958,17,1259352591652897400,0.22143166552638133
19,2300119070,7506925800,10,0.7,10,16,"{3: 1, 4: 1, 5: 2, 6: 3, 7: 4, 8: 3, 9: 4, 10: 4, 11: 4, 12: 4, 13: 4, 14: 3, 15: 1, 16: 1, 17: 2, 18: 1}",6,7,16,4,136,0.6666666666666666,0.875,8,7,966,116,3.767367181637619,0.12008281573498965,99,16,19,3.7317846557011385,0.10248447204968944,16,13114600009929450000,0.7595259339764793
